ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
979,0.00046170000000000006,1.0,0.00046170000000000006,"{('C:\\Users\\tiger\\AppData\\Local\\Programs\\Python\\Python312\\Lib\\enum.py', 902, '_convert_'): (4, 4, 2.0000000000000003e-06, 2.0000000000000003e-06), ('C:\\Users\\tiger\\AppData\\Local\\Programs\\Python\\Python312\\Lib\\site-packages\\matplotlib\\backend_bases.py', 1461, '__init__'): (975, 975, 0.0004597, 0.0004597)}",979
7,1.4000000000000001e-06,1.0,1.4000000000000001e-06,"{('C:\\Users\\tiger\\AppData\\Local\\Programs\\Python\\Python312\\Lib\\re\\_compiler.py', 465, '_get_charset_prefix'): (1, 1, 1.0000000000000001e-07, 1.0000000000000001e-07), ('C:\\Users\\tiger\\AppData\\Local\\Programs\\Python\\Python312\\Lib\\re\\_compiler.py', 37, '_compile'): (5, 5, 9.000000000000001e-07, 9.000000000000001e-07), ('C:\\Users\\tiger\\AppData\\Local\\Programs\\Python\\Python312\\Lib\\re\\_compiler.py', 434, '_get_literal_prefix'): (1, 1, 4.0000000000000003e-07, 4.0000000000000003e-07)}",7
639,0.00024680000000000004,1.4465153970826579,0.000357,"{('C:\\Users\\tiger\\AppData\\Local\\Programs\\Python\\Python312\\Lib\\copy.py', 247, '_reconstruct'): (639, 639, 0.00024680000000000004, 0.000357)}",639
13,1.8000000000000001e-06,1.0,1.8000000000000001e-06,"{('C:\\Users\\tiger\\AppData\\Local\\Programs\\Python\\Python312\\Lib\\re\\_parser.py', 505, '_parse'): (13, 13, 1.8000000000000001e-06, 1.8000000000000001e-06)}",13
2,8.000000000000001e-07,1.125,9.000000000000001e-07,"{('C:\\Users\\tiger\\AppData\\Local\\Programs\\Python\\Python312\\Lib\\re\\_compiler.py', 738, 'compile'): (1, 1, 3.0000000000000004e-07, 4.0000000000000003e-07), ('C:\\Users\\tiger\\AppData\\Local\\Programs\\Python\\Python312\\Lib\\re\\__init__.py', 280, '_compile'): (1, 1, 5.000000000000001e-07, 5.000000000000001e-07)}",2
47,8.400000000000001e-06,1.4285714285714284,1.2e-05,"{('C:\\Users\\tiger\\AppData\\Local\\Programs\\Python\\Python312\\Lib\\re\\_parser.py', 505, '_parse'): (26, 26, 4.6e-06, 6.7e-06), ('~', 0, '<built-in method builtins.len>'): (21, 21, 3.8e-06, 5.3e-06)}",47
12,2.3e-06,1.3913043478260871,3.2000000000000003e-06,"{('C:\\Users\\tiger\\AppData\\Local\\Programs\\Python\\Python312\\Lib\\re\\_parser.py', 82, 'opengroup'): (10, 10, 2.0000000000000003e-06, 2.8000000000000003e-06), ('C:\\Users\\tiger\\AppData\\Local\\Programs\\Python\\Python312\\Lib\\re\\_compiler.py', 738, 'compile'): (2, 2, 3.0000000000000004e-07, 4.0000000000000003e-07)}",12
1,3.1000000000000004e-06,1.4193548387096773,4.4e-06,"{('~', 0, ""<method 'write' of '_io.TextIOWrapper' objects>""): (1, 1, 3.1000000000000004e-06, 4.4e-06)}",1
5,6.900000000000001e-06,87.15942028985508,0.0006014000000000001,"{('~', 0, ""<method 'readlines' of '_io._IOBase' objects>""): (4, 4, 5.1e-06, 7.7e-06), ('~', 0, ""<method 'read' of '_io.TextIOWrapper' objects>""): (1, 1, 1.8000000000000001e-06, 0.0005937000000000001)}",5
34,1.2600000000000001e-05,1.738095238095238,2.19e-05,"{('C:\\Users\\tiger\\AppData\\Local\\Programs\\Python\\Python312\\Lib\\enum.py', 383, '__setitem__'): (3, 3, 1.3e-06, 2.4000000000000003e-06), ('C:\\Users\\tiger\\AppData\\Local\\Programs\\Python\\Python312\\Lib\\enum.py', 1679, 'convert_class'): (31, 31, 1.13e-05, 1.95e-05)}",34
